PC,Direction,Funct3,Funct3_mn,Taken,Not_Taken,All,Taken%,P_combined,P_combined%,Best,P_best,P_best%,Pattern
12310,F,0,beq,0,60,60,0.0,59,98.3,combined,59,98.3,60N
12328,F,0,beq,0,60,60,0.0,60,100.0,combined,60,100.0,60N
1235c,F,0,beq,39,1497,1536,2.5,1497,97.5,combined,1497,97.5,114N 1T 115N 1T 22N 1T 22N 1T 22N 1T 22N 1T 22N 1T 22N 1T 22N 1T 22N 1T 22N 1T 22N 1T 74N 1T 70N 1T 22N 1T 22N 1T 22N 1T 22N 1T 22N 1T 22N 1T 90N 1T 85N 1T 22N 1T 22N 1T 22N 1T 22N 1T 22N 1T 22N 1T 74N 1T 22N 1T 22N 1T 22N 1T 22N 1T 22N 1T 22N 1T 22N 1T 22N 1T 74N 1T 107N 1T 34N
12384,B,1,bne,1476,60,1536,96.1,1471,95.8,combined,1471,95.8,1N 46T 2N 45T 2N 42T 1N 14T 2N 52T 2N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 40T 1N 10T 1N 22T 1N 47T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 51T 1N 15T 1N 22T 1N 62T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 51T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 51T 1N 22T 1N 51T 2N 55T 1N 30T 2N
123d4,F,0,beq,1,38,39,2.6,38,97.4,combined,38,97.4,38N 1T
123e4,F,6,bltu,38,0,38,100.0,37,97.4,combined,37,97.4,38T
1240c,B,7,bgeu,0,1,1,0.0,0,0.0,combined,0,0.0,1N
12418,F,5,bge,1,0,1,100.0,1,100.0,combined,1,100.0,1T
12420,F,0,beq,0,39,39,0.0,39,100.0,combined,39,100.0,39N
12424,B,0,beq,0,39,39,0.0,34,87.2,combined,34,87.2,39N
12434,F,6,bltu,0,39,39,0.0,39,100.0,combined,39,100.0,39N
12518,F,0,beq,0,31,31,0.0,30,96.8,combined,30,96.8,31N
12574,F,4,blt,0,4,4,0.0,4,100.0,combined,4,100.0,4N
12620,F,0,beq,1,1,2,50.0,0,0.0,combined,0,0.0,1T 1N
12684,F,6,bltu,2,0,2,100.0,1,50.0,combined,1,50.0,2T
126b0,F,0,beq,2,0,2,100.0,1,50.0,combined,1,50.0,2T
12708,F,4,blt,0,2,2,0.0,2,100.0,combined,2,100.0,2N
1270c,F,6,bltu,0,2,2,0.0,2,100.0,combined,2,100.0,2N
12718,F,7,bgeu,2,0,2,100.0,1,50.0,combined,1,50.0,2T
1278c,F,0,beq,2,0,2,100.0,1,50.0,combined,1,50.0,2T
12800,F,6,bltu,2,0,2,100.0,1,50.0,combined,1,50.0,2T
128dc,F,6,bltu,1,1,2,50.0,0,0.0,combined,0,0.0,1T 1N
128e8,F,4,blt,1,0,1,100.0,0,0.0,combined,0,0.0,1T
12910,F,0,beq,1,0,1,100.0,0,0.0,combined,0,0.0,1T
1293c,F,0,beq,0,1,1,0.0,1,100.0,combined,1,100.0,1N
12944,F,6,bltu,0,1,1,0.0,1,100.0,combined,1,100.0,1N
12960,F,0,beq,0,1,1,0.0,1,100.0,combined,1,100.0,1N
1296c,F,0,beq,1,0,1,100.0,0,0.0,combined,0,0.0,1T
12980,F,0,beq,0,1,1,0.0,1,100.0,combined,1,100.0,1N
129b8,F,0,beq,0,1,1,0.0,1,100.0,combined,1,100.0,1N
129dc,F,0,beq,1,0,1,100.0,1,100.0,combined,1,100.0,1T
12a1c,F,7,bgeu,0,1,1,0.0,1,100.0,combined,1,100.0,1N
12a28,F,7,bgeu,0,1,1,0.0,0,0.0,combined,0,0.0,1N
12a5c,F,6,bltu,0,1,1,0.0,1,100.0,combined,1,100.0,1N
12a64,F,5,bge,0,1,1,0.0,1,100.0,combined,1,100.0,1N
12b08,B,0,beq,2,0,2,100.0,2,100.0,combined,2,100.0,2T
12e9c,F,0,beq,0,2,2,0.0,2,100.0,combined,2,100.0,2N
12ef4,F,0,beq,1,0,1,100.0,0,0.0,combined,0,0.0,1T
12f28,F,0,beq,1,0,1,100.0,0,0.0,combined,0,0.0,1T
12f68,F,1,bne,0,12,12,0.0,12,100.0,combined,12,100.0,12N
12f90,F,1,bne,0,12,12,0.0,12,100.0,combined,12,100.0,12N
12fb4,B,0,beq,72,12,84,85.7,82,97.6,combined,82,97.6,6T 1N 6T 1N 6T 1N 6T 1N 6T 1N 6T 1N 6T 1N 6T 1N 6T 1N 6T 1N 6T 1N 6T 1N
12fc8,F,0,beq,0,12,12,0.0,12,100.0,combined,12,100.0,12N
12fd0,F,0,beq,0,12,12,0.0,12,100.0,combined,12,100.0,12N
12fd8,F,1,bne,0,12,12,0.0,12,100.0,combined,12,100.0,12N
